Variable,IV
application_type,0.0
acc_now_delinq,0.0002
pymnt_plan,0.000309
pub_rec,0.000504
collections_12_mths_ex_med,0.000733
tot_coll_amt,0.000738
delinq_2yrs,0.001039
mths_since_last_delinq,0.002487
open_acc,0.004499
emp_length,0.007174
revol_util,0.008858
addr_state,0.010291
total_rec_int,0.011108
initial_list_status,0.011513
home_ownership,0.017952
total_rev_hi_lim,0.018835
mths_since_earliest_cr_line,0.02135
tot_cur_bal,0.026379
purpose,0.028333
verification_status,0.033377
term,0.035478
annual_inc,0.037998
inq_last_6mths,0.040454
dti,0.041026
mths_since_issue_d,0.090539
grade,0.281145
mths_since_last_credit_pull_d,0.313059
int_rate,0.347724
total_pymnt,0.515794
out_prncp,0.703375
last_pymnt_amnt,1.491828
mths_since_last_pymnt_d,2.331187
