"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"29/12/2023","18,650.0","18,600.0","18,850.0","18,550.0","13.81M","0.54%"
"28/12/2023","18,550.0","18,400.0","18,600.0","18,350.0","9.88M","0.82%"
"27/12/2023","18,400.0","18,500.0","18,500.0","18,350.0","5.78M","-0.27%"
"26/12/2023","18,450.0","18,400.0","18,500.0","18,300.0","4.26M","0.27%"
"25/12/2023","18,400.0","18,350.0","18,550.0","18,300.0","6.59M","0.55%"
"22/12/2023","18,300.0","18,150.0","18,450.0","18,100.0","8.55M","0.83%"
"21/12/2023","18,150.0","18,100.0","18,150.0","18,000.0","3.98M","0.00%"
"20/12/2023","18,150.0","18,150.0","18,200.0","18,050.0","3.09M","0.00%"
"19/12/2023","18,150.0","18,000.0","18,200.0","17,950.0","5.90M","0.83%"
"18/12/2023","18,000.0","18,050.0","18,150.0","17,950.0","5.28M","-0.28%"
"15/12/2023","18,050.0","18,050.0","18,200.0","18,000.0","5.54M","0.00%"
"14/12/2023","18,050.0","18,150.0","18,200.0","18,000.0","5.30M","0.00%"
"13/12/2023","18,050.0","18,250.0","18,350.0","18,050.0","7.18M","-1.10%"
"12/12/2023","18,250.0","18,150.0","18,250.0","18,100.0","4.88M","0.55%"
"11/12/2023","18,150.0","18,200.0","18,250.0","18,050.0","4.88M","-0.27%"
"08/12/2023","18,200.0","18,250.0","18,350.0","18,150.0","7.47M","-0.27%"
"07/12/2023","18,250.0","18,150.0","18,350.0","18,050.0","13.92M","0.83%"
"06/12/2023","18,100.0","18,050.0","18,150.0","18,000.0","7.01M","0.28%"
"05/12/2023","18,050.0","18,050.0","18,100.0","17,950.0","6.12M","0.00%"
"04/12/2023","18,050.0","17,800.0","18,100.0","17,800.0","17.33M","1.40%"
"01/12/2023","17,800.0","17,850.0","17,850.0","17,700.0","4.41M","0.00%"
"30/11/2023","17,800.0","17,850.0","17,950.0","17,750.0","5.67M","-0.28%"
"29/11/2023","17,850.0","17,800.0","17,900.0","17,700.0","5.45M","0.00%"
"28/11/2023","17,850.0","17,600.0","17,900.0","17,450.0","6.65M","1.42%"
"27/11/2023","17,600.0","17,850.0","17,950.0","17,550.0","7.11M","-1.40%"
"24/11/2023","17,850.0","17,900.0","18,000.0","17,600.0","8.02M","-0.28%"
"23/11/2023","17,900.0","18,100.0","18,150.0","17,900.0","7.03M","-0.83%"
"22/11/2023","18,050.0","18,150.0","18,150.0","17,950.0","7.61M","-0.28%"
"21/11/2023","18,100.0","18,200.0","18,250.0","17,950.0","5.86M","0.56%"
"20/11/2023","18,000.0","17,750.0","18,250.0","17,750.0","8.98M","-1.10%"
"17/11/2023","18,200.0","18,600.0","18,600.0","17,900.0","13.29M","-1.62%"
"16/11/2023","18,500.0","18,450.0","18,550.0","18,350.0","5.07M","-0.27%"
"15/11/2023","18,550.0","18,700.0","18,750.0","18,450.0","13.59M","0.54%"
