"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"29/12/2023","24,650.0","24,600.0","24,650.0","24,450.0","5.50M","0.41%"
"28/12/2023","24,550.0","24,100.0","24,750.0","24,050.0","9.25M","1.87%"
"27/12/2023","24,100.0","24,450.0","24,550.0","24,100.0","6.71M","-0.41%"
"26/12/2023","24,200.0","24,200.0","24,400.0","23,900.0","9.48M","0.41%"
"25/12/2023","24,100.0","24,350.0","25,000.0","24,100.0","11.26M","-0.82%"
"22/12/2023","24,300.0","24,450.0","24,750.0","24,000.0","7.40M","0.00%"
"21/12/2023","24,300.0","23,800.0","24,650.0","23,700.0","12.57M","1.25%"
"20/12/2023","24,000.0","23,900.0","24,100.0","23,750.0","6.52M","0.00%"
"19/12/2023","24,000.0","22,800.0","24,000.0","22,750.0","11.20M","5.49%"
"18/12/2023","22,750.0","23,300.0","23,400.0","22,750.0","5.22M","-2.15%"
"15/12/2023","23,250.0","22,750.0","23,350.0","22,650.0","7.26M","1.97%"
"14/12/2023","22,800.0","23,100.0","23,150.0","22,600.0","7.71M","0.44%"
"13/12/2023","22,700.0","23,500.0","23,650.0","22,700.0","10.49M","-2.78%"
"12/12/2023","23,350.0","23,450.0","23,800.0","23,300.0","6.62M","0.43%"
"11/12/2023","23,250.0","23,300.0","23,500.0","22,850.0","7.12M","-0.21%"
"08/12/2023","23,300.0","23,500.0","24,400.0","23,200.0","13.08M","0.00%"
"07/12/2023","23,300.0","23,900.0","23,950.0","22,600.0","15.72M","-1.69%"
"06/12/2023","23,700.0","23,500.0","23,800.0","23,150.0","12.30M","0.64%"
"05/12/2023","23,550.0","23,950.0","23,950.0","23,350.0","10.47M","-1.26%"
"04/12/2023","23,850.0","23,350.0","24,200.0","22,950.0","14.43M","4.15%"
"01/12/2023","22,900.0","23,250.0","23,250.0","22,200.0","15.84M","-0.43%"
"30/11/2023","23,000.0","22,950.0","23,450.0","22,700.0","12.68M","0.44%"
"29/11/2023","22,900.0","22,800.0","23,400.0","22,600.0","16.68M","0.44%"
"28/11/2023","22,800.0","21,850.0","22,800.0","21,650.0","17.32M","4.59%"
"27/11/2023","21,800.0","22,100.0","22,450.0","21,750.0","8.93M","-1.36%"
"24/11/2023","22,100.0","21,350.0","22,100.0","20,800.0","17.66M","4.49%"
"23/11/2023","21,150.0","22,900.0","23,000.0","21,150.0","17.64M","-6.83%"
"22/11/2023","22,700.0","22,200.0","22,700.0","21,950.0","11.80M","2.25%"
"21/11/2023","22,200.0","22,600.0","23,250.0","22,200.0","17.53M","0.00%"
"20/11/2023","22,200.0","21,350.0","22,300.0","21,350.0","13.30M","1.60%"
"17/11/2023","21,850.0","21,700.0","22,250.0","21,350.0","21.62M","1.16%"
"16/11/2023","21,600.0","21,300.0","21,600.0","21,100.0","9.15M","0.70%"
"15/11/2023","21,450.0","22,550.0","22,550.0","21,300.0","17.05M","-0.69%"
"14/11/2023","21,600.0","21,900.0","21,900.0","21,100.0","13.70M","0.47%"
"13/11/2023","21,500.0","20,600.0","21,750.0","20,500.0","19.79M","4.88%"
"10/11/2023","20,500.0","20,500.0","21,450.0","20,450.0","15.28M","-1.20%"
"09/11/2023","20,750.0","21,000.0","21,500.0","20,700.0","14.86M","0.48%"
"08/11/2023","20,650.0","19,300.0","20,650.0","19,250.0","15.43M","6.99%"
"07/11/2023","19,300.0","19,350.0","19,700.0","19,050.0","7.86M","-1.03%"
"06/11/2023","19,500.0","19,250.0","19,500.0","19,150.0","7.83M","1.30%"
"03/11/2023","19,250.0","19,100.0","19,450.0","18,750.0","9.84M","0.79%"
"02/11/2023","19,100.0","18,150.0","19,150.0","18,100.0","10.48M","6.70%"
"01/11/2023","17,900.0","17,600.0","17,900.0","17,250.0","5.63M","2.29%"
"31/10/2023","17,500.0","18,000.0","18,250.0","17,400.0","6.81M","-2.78%"
"30/10/2023","18,000.0","18,000.0","18,700.0","17,950.0","7.30M","0.00%"
"27/10/2023","18,000.0","17,650.0","18,050.0","17,150.0","4.83M","4.05%"
"26/10/2023","17,300.0","18,100.0","18,600.0","17,300.0","10.71M","-6.99%"
"25/10/2023","18,600.0","18,700.0","19,300.0","18,450.0","5.02M","-0.27%"
"24/10/2023","18,650.0","18,550.0","18,650.0","18,150.0","4.32M","0.81%"
"23/10/2023","18,500.0","18,500.0","18,700.0","18,050.0","5.46M","0.54%"
"20/10/2023","18,400.0","17,800.0","18,500.0","17,500.0","6.10M","3.08%"
"19/10/2023","17,850.0","17,800.0","18,250.0","17,250.0","5.34M","-1.11%"
"18/10/2023","18,050.0","19,000.0","19,000.0","17,300.0","12.44M","-2.96%"
