"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"29/12/2023","31,800.0","31,700.0","31,950.0","31,500.0","4.23M","0.95%"
"28/12/2023","31,500.0","30,900.0","31,650.0","30,900.0","5.75M","2.11%"
"27/12/2023","30,850.0","30,850.0","31,150.0","30,850.0","2.02M","0.16%"
"26/12/2023","30,800.0","30,850.0","31,000.0","30,750.0","1.51M","-0.48%"
"25/12/2023","30,950.0","30,800.0","31,000.0","30,600.0","2.57M","1.14%"
"22/12/2023","30,600.0","30,500.0","30,800.0","30,450.0","1.85M","-0.16%"
"21/12/2023","30,650.0","30,300.0","30,650.0","30,150.0","2.48M","0.99%"
"20/12/2023","30,350.0","30,300.0","30,550.0","30,150.0","1.75M","-0.82%"
"19/12/2023","30,600.0","30,000.0","30,600.0","29,800.0","2.11M","1.83%"
"18/12/2023","30,050.0","30,600.0","30,650.0","30,050.0","2.38M","-1.80%"
"15/12/2023","30,600.0","30,550.0","30,800.0","30,400.0","2.15M","0.16%"
"14/12/2023","30,550.0","30,800.0","30,850.0","30,550.0","2.55M","0.16%"
"13/12/2023","30,500.0","31,150.0","31,150.0","30,500.0","3.11M","-1.77%"
"12/12/2023","31,050.0","30,850.0","31,050.0","30,750.0","2.17M","0.65%"
"11/12/2023","30,850.0","30,950.0","31,000.0","30,650.0","1.61M","-0.32%"
"08/12/2023","30,950.0","30,850.0","31,000.0","30,600.0","2.75M","0.32%"
"07/12/2023","30,850.0","30,550.0","31,050.0","30,300.0","5.84M","1.48%"
"06/12/2023","30,400.0","30,000.0","30,500.0","30,000.0","2.49M","1.16%"
"05/12/2023","30,050.0","30,250.0","30,300.0","29,900.0","3.09M","-0.50%"
"04/12/2023","30,200.0","29,800.0","30,500.0","29,800.0","4.76M","1.51%"
"01/12/2023","29,750.0","29,600.0","29,850.0","29,350.0","2.70M","0.85%"
"30/11/2023","29,500.0","29,750.0","30,050.0","29,500.0","2.76M","-1.34%"
"29/11/2023","29,900.0","29,900.0","30,300.0","29,600.0","1.78M","-0.17%"
"28/11/2023","29,950.0","29,300.0","29,950.0","28,800.0","3.74M","2.22%"
"27/11/2023","29,300.0","29,950.0","29,950.0","29,300.0","3.05M","-2.50%"
"24/11/2023","30,050.0","30,350.0","30,600.0","29,450.0","4.70M","-1.15%"
"23/11/2023","30,400.0","31,200.0","31,300.0","30,400.0","3.28M","-1.78%"
"22/11/2023","30,950.0","30,900.0","31,000.0","30,650.0","1.84M","0.49%"
"21/11/2023","30,800.0","31,350.0","31,350.0","30,800.0","2.24M","-0.65%"
"20/11/2023","31,000.0","30,500.0","31,250.0","30,450.0","4.32M","-0.48%"
"17/11/2023","31,150.0","31,700.0","31,950.0","30,700.0","5.08M","-1.74%"
"16/11/2023","31,700.0","31,500.0","31,800.0","31,500.0","2.24M","0.48%"
"15/11/2023","31,550.0","32,000.0","32,200.0","31,500.0","3.67M","0.16%"
"14/11/2023","31,500.0","31,150.0","31,750.0","30,900.0","3.98M","1.94%"
"13/11/2023","30,900.0","31,300.0","31,300.0","30,650.0","2.46M","-0.48%"
"10/11/2023","31,050.0","31,200.0","31,500.0","30,700.0","4.07M","-1.43%"
"09/11/2023","31,500.0","31,850.0","31,950.0","31,300.0","4.25M","-0.94%"
"08/11/2023","31,800.0","30,600.0","31,900.0","30,200.0","3.87M","3.92%"
"07/11/2023","30,600.0","30,600.0","30,950.0","30,450.0","1.51M","-1.29%"
"06/11/2023","31,000.0","30,800.0","31,000.0","30,300.0","3.30M","0.00%"
"03/11/2023","31,000.0","29,950.0","31,000.0","29,550.0","8.10M","5.62%"
"02/11/2023","29,350.0","28,800.0","29,600.0","28,500.0","4.71M","4.08%"
"01/11/2023","28,200.0","28,300.0","28,450.0","27,450.0","4.48M","1.81%"
"31/10/2023","27,700.0","28,200.0","28,500.0","27,200.0","6.09M","-1.42%"
"30/10/2023","28,100.0","29,200.0","29,250.0","28,100.0","6.59M","-4.91%"
"27/10/2023","29,550.0","30,000.0","30,400.0","29,100.0","3.87M","-0.84%"
"26/10/2023","29,800.0","30,800.0","30,950.0","29,200.0","6.68M","-4.49%"
"25/10/2023","31,200.0","31,200.0","31,600.0","31,200.0","2.12M","-0.48%"
"24/10/2023","31,350.0","31,350.0","31,800.0","31,050.0","2.17M","1.46%"
"23/10/2023","30,900.0","31,100.0","31,500.0","30,500.0","2.79M","-0.64%"
"20/10/2023","31,100.0","30,700.0","31,400.0","30,550.0","2.43M","1.47%"
"19/10/2023","30,650.0","31,250.0","31,400.0","30,650.0","2.79M","-1.92%"
"18/10/2023","31,250.0","31,750.0","31,800.0","31,000.0","4.72M","-1.57%"
"17/10/2023","31,750.0","31,950.0","32,200.0","31,750.0","1.82M","-0.16%"
"16/10/2023","31,800.0","32,050.0","32,300.0","31,800.0","2.48M","-1.24%"
"13/10/2023","32,200.0","32,400.0","32,450.0","32,000.0","1.95M","-0.92%"
"12/10/2023","32,500.0","32,700.0","32,850.0","32,500.0","2.46M","-0.31%"
"11/10/2023","32,600.0","32,650.0","32,650.0","32,300.0","2.20M","0.31%"
"10/10/2023","32,500.0","32,300.0","32,650.0","32,250.0","2.66M","1.25%"
"09/10/2023","32,100.0","32,100.0","32,150.0","31,900.0","2.79M","0.16%"
"06/10/2023","32,050.0","31,750.0","32,250.0","31,600.0","2.55M","0.79%"
"05/10/2023","31,800.0","32,350.0","32,600.0","31,800.0","2.44M","-1.40%"
"04/10/2023","32,250.0","32,250.0","32,650.0","32,000.0","2.80M","-0.77%"
"03/10/2023","32,500.0","32,900.0","32,900.0","31,900.0","4.65M","-1.96%"
"02/10/2023","33,150.0","33,650.0","33,650.0","33,000.0","2.14M","-1.49%"
"29/09/2023","33,650.0","33,500.0","33,700.0","33,100.0","2.91M","0.00%"
"28/09/2023","33,650.0","32,600.0","33,900.0","31,850.0","6.56M","3.22%"
"27/09/2023","32,600.0","32,250.0","32,600.0","32,250.0","3.55M","0.62%"
"26/09/2023","32,400.0","32,800.0","33,000.0","32,400.0","4.76M","-1.22%"
"25/09/2023","32,800.0","34,000.0","34,200.0","32,750.0","4.23M","-3.53%"
"22/09/2023","34,000.0","33,950.0","34,250.0","33,400.0","7.54M","-0.87%"
"21/09/2023","34,300.0","34,350.0","34,500.0","34,000.0","3.17M","-0.15%"
"20/09/2023","34,350.0","33,900.0","34,500.0","33,850.0","3.43M","1.33%"
"19/09/2023","33,900.0","34,300.0","34,350.0","33,800.0","5.86M","-0.59%"
"18/09/2023","34,100.0","34,850.0","35,000.0","34,000.0","7.73M","-2.29%"
"15/09/2023","34,900.0","35,100.0","35,500.0","34,900.0","4.52M","0.00%"
"14/09/2023","34,900.0","35,100.0","35,750.0","34,900.0","7.64M","-0.29%"
"13/09/2023","35,000.0","35,400.0","35,450.0","34,850.0","4.98M","-0.85%"
"12/09/2023","35,300.0","34,550.0","35,300.0","34,400.0","4.94M","2.17%"
"11/09/2023","34,550.0","35,600.0","35,600.0","34,450.0","10.81M","-2.26%"
"08/09/2023","35,350.0","35,850.0","35,900.0","35,350.0","4.60M","-1.12%"
"07/09/2023","35,750.0","35,250.0","36,150.0","35,100.0","9.04M","1.56%"
"06/09/2023","35,200.0","35,050.0","35,350.0","34,850.0","4.65M","0.57%"
"05/09/2023","35,000.0","34,800.0","35,150.0","34,750.0","8.00M","1.45%"
"31/08/2023","34,500.0","34,100.0","34,500.0","34,100.0","4.12M","1.47%"
"30/08/2023","34,000.0","34,000.0","34,300.0","33,900.0","4.27M","0.29%"
"29/08/2023","33,900.0","34,000.0","34,250.0","33,750.0","3.70M","-0.29%"
"28/08/2023","34,000.0","33,850.0","34,100.0","33,600.0","4.02M","1.04%"
"25/08/2023","33,650.0","33,700.0","33,850.0","33,400.0","3.64M","-0.44%"
"24/08/2023","33,800.0","33,500.0","33,950.0","33,400.0","4.81M","1.81%"
"23/08/2023","33,200.0","34,000.0","34,200.0","33,200.0","9.09M","0.30%"
"22/08/2023","33,100.0","32,750.0","33,100.0","31,900.0","6.72M","1.07%"
"21/08/2023","32,750.0","32,500.0","32,950.0","32,100.0","5.36M","0.77%"
"18/08/2023","32,500.0","34,550.0","34,550.0","32,500.0","11.95M","-6.34%"
"17/08/2023","34,700.0","35,300.0","35,300.0","34,700.0","5.31M","-1.70%"
"16/08/2023","35,300.0","34,000.0","35,350.0","33,950.0","13.20M","3.67%"
"15/08/2023","34,050.0","33,900.0","34,400.0","33,850.0","4.61M","0.74%"
"14/08/2023","33,800.0","33,750.0","33,800.0","33,450.0","4.57M","0.45%"
"11/08/2023","33,650.0","33,550.0","33,800.0","33,100.0","5.91M","0.45%"
"10/08/2023","33,500.0","34,000.0","34,050.0","33,500.0","6.17M","-1.47%"
"09/08/2023","34,000.0","34,050.0","34,200.0","33,800.0","4.67M","0.00%"
"08/08/2023","34,000.0","34,400.0","34,500.0","33,950.0","5.54M","-1.02%"
"07/08/2023","34,350.0","34,200.0","34,450.0","34,000.0","5.26M","2.23%"
"04/08/2023","33,600.0","33,650.0","34,200.0","33,450.0","12.32M","0.30%"
"03/08/2023","33,500.0","34,000.0","34,050.0","33,500.0","4.17M","-1.18%"
"02/08/2023","33,900.0","33,900.0","34,100.0","33,750.0","4.64M","-0.29%"
"01/08/2023","34,000.0","34,600.0","34,600.0","34,000.0","8.66M","-0.87%"
"31/07/2023","34,300.0","34,100.0","34,600.0","34,000.0","7.65M","1.48%"
"28/07/2023","33,800.0","33,050.0","33,800.0","33,000.0","5.63M","2.11%"
"27/07/2023","33,100.0","33,350.0","33,450.0","32,700.0","7.80M","-1.05%"
"26/07/2023","33,450.0","33,500.0","33,550.0","33,200.0","3.41M","-0.15%"
"25/07/2023","33,500.0","32,800.0","33,800.0","32,700.0","13.27M","3.24%"
"24/07/2023","32,450.0","32,450.0","32,500.0","32,150.0","4.83M","0.46%"
"21/07/2023","32,300.0","31,850.0","32,300.0","31,850.0","5.21M","1.25%"
"20/07/2023","31,900.0","32,400.0","32,400.0","31,800.0","5.26M","-1.24%"
"19/07/2023","32,300.0","32,650.0","32,900.0","32,250.0","5.56M","0.00%"
"18/07/2023","32,300.0","31,900.0","32,300.0","31,800.0","6.51M","1.25%"
"17/07/2023","31,900.0","32,100.0","32,100.0","31,800.0","3.65M","-0.16%"
"14/07/2023","31,950.0","32,200.0","32,200.0","31,700.0","4.47M","0.00%"
"13/07/2023","31,950.0","31,700.0","32,000.0","31,650.0","4.41M","0.95%"
"12/07/2023","31,650.0","31,900.0","32,000.0","31,600.0","4.34M","-0.94%"
"11/07/2023","31,950.0","32,200.0","32,350.0","31,950.0","5.71M","-0.16%"
"10/07/2023","32,000.0","32,000.0","32,100.0","31,700.0","4.98M","1.43%"
"07/07/2023","31,550.0","31,500.0","31,800.0","31,300.0","3.27M","0.00%"
"06/07/2023","31,550.0","31,950.0","32,050.0","31,200.0","6.31M","-1.25%"
"05/07/2023","31,950.0","32,150.0","32,400.0","31,950.0","4.32M","-0.16%"
"04/07/2023","32,000.0","32,000.0","32,100.0","31,850.0","4.33M","0.00%"
"03/07/2023","32,000.0","32,700.0","32,700.0","32,000.0","3.75M","-1.08%"
"30/06/2023","32,350.0","32,650.0","32,800.0","32,350.0","2.45M","-0.92%"
"29/06/2023","32,650.0","33,300.0","33,400.0","32,650.0","3.54M","-1.95%"
"28/06/2023","33,300.0","32,950.0","33,300.0","32,750.0","4.30M","1.06%"
"27/06/2023","32,950.0","33,300.0","33,400.0","32,900.0","3.67M","-1.05%"
"26/06/2023","33,300.0","32,900.0","33,300.0","32,550.0","4.04M","1.22%"
"23/06/2023","32,900.0","32,650.0","33,250.0","32,550.0","4.14M","0.92%"
"22/06/2023","32,600.0","32,900.0","33,150.0","32,600.0","4.40M","0.31%"
"21/06/2023","32,500.0","32,150.0","32,500.0","32,100.0","2.51M","1.09%"
"20/06/2023","32,150.0","32,200.0","32,250.0","31,950.0","2.08M","0.16%"
"19/06/2023","32,100.0","32,550.0","32,550.0","31,950.0","3.67M","-1.38%"
"16/06/2023","32,550.0","32,650.0","33,450.0","32,500.0","6.93M","-0.31%"
"15/06/2023","32,650.0","32,600.0","32,900.0","32,400.0","3.86M","0.15%"
"14/06/2023","32,600.0","33,000.0","33,450.0","32,550.0","5.37M","-0.61%"
