Ngày,Lần cuối,Mở,Cao,Thấp,KL,% Thay đổi
29/12/2023," 18,650 "," 18,600 "," 18,850 "," 18,550 ",13.81M,0.54%
28/12/2023," 18,550 "," 18,400 "," 18,600 "," 18,350 ",9.88M,0.82%
27/12/2023," 18,400 "," 18,500 "," 18,500 "," 18,350 ",5.78M,-0.27%
26/12/2023," 18,450 "," 18,400 "," 18,500 "," 18,300 ",4.26M,0.27%
25/12/2023," 18,400 "," 18,350 "," 18,550 "," 18,300 ",6.59M,0.55%
22/12/2023," 18,300 "," 18,150 "," 18,450 "," 18,100 ",8.55M,0.83%
21/12/2023," 18,150 "," 18,100 "," 18,150 "," 18,000 ",3.98M,0.00%
20/12/2023," 18,150 "," 18,150 "," 18,200 "," 18,050 ",3.09M,0.00%
19/12/2023," 18,150 "," 18,000 "," 18,200 "," 17,950 ",5.90M,0.83%
18/12/2023," 18,000 "," 18,050 "," 18,150 "," 17,950 ",5.28M,-0.28%
15/12/2023," 18,050 "," 18,050 "," 18,200 "," 18,000 ",5.54M,0.00%
14/12/2023," 18,050 "," 18,150 "," 18,200 "," 18,000 ",5.30M,0.00%
13/12/2023," 18,050 "," 18,250 "," 18,350 "," 18,050 ",7.18M,-1.10%
12/12/2023," 18,250 "," 18,150 "," 18,250 "," 18,100 ",4.88M,0.55%
11/12/2023," 18,150 "," 18,200 "," 18,250 "," 18,050 ",4.88M,-0.27%
08/12/2023," 18,200 "," 18,250 "," 18,350 "," 18,150 ",7.47M,-0.27%
07/12/2023," 18,250 "," 18,150 "," 18,350 "," 18,050 ",13.92M,0.83%
06/12/2023," 18,100 "," 18,050 "," 18,150 "," 18,000 ",7.01M,0.28%
05/12/2023," 18,050 "," 18,050 "," 18,100 "," 17,950 ",6.12M,0.00%
04/12/2023," 18,050 "," 17,800 "," 18,100 "," 17,800 ",17.33M,1.40%
01/12/2023," 17,800 "," 17,850 "," 17,850 "," 17,700 ",4.41M,0.00%
30/11/2023," 17,800 "," 17,850 "," 17,950 "," 17,750 ",5.67M,-0.28%
29/11/2023," 17,850 "," 17,800 "," 17,900 "," 17,700 ",5.45M,0.00%
28/11/2023," 17,850 "," 17,600 "," 17,900 "," 17,450 ",6.65M,1.42%
27/11/2023," 17,600 "," 17,850 "," 17,950 "," 17,550 ",7.11M,-1.40%
24/11/2023," 17,850 "," 17,900 "," 18,000 "," 17,600 ",8.02M,-0.28%
23/11/2023," 17,900 "," 18,100 "," 18,150 "," 17,900 ",7.03M,-0.83%
22/11/2023," 18,050 "," 18,150 "," 18,150 "," 17,950 ",7.61M,-0.28%
21/11/2023," 18,100 "," 18,200 "," 18,250 "," 17,950 ",5.86M,0.56%
20/11/2023," 18,000 "," 17,750 "," 18,250 "," 17,750 ",8.98M,-1.10%
17/11/2023," 18,200 "," 18,600 "," 18,600 "," 17,900 ",13.29M,-1.62%
16/11/2023," 18,500 "," 18,450 "," 18,550 "," 18,350 ",5.07M,-0.27%
15/11/2023," 18,550 "," 18,700 "," 18,750 "," 18,450 ",13.59M,0.54%
14/11/2023," 18,450 "," 18,150 "," 18,650 "," 18,150 ",13.83M,1.93%
13/11/2023," 18,100 "," 18,000 "," 18,150 "," 17,850 ",6.65M,0.56%
10/11/2023," 18,000 "," 18,200 "," 18,400 "," 17,950 ",12.81M,-1.91%
09/11/2023," 18,350 "," 18,400 "," 18,500 "," 18,250 ",9.73M,0.00%
08/11/2023," 18,350 "," 17,800 "," 18,400 "," 17,700 ",10.72M,3.09%
07/11/2023," 17,800 "," 17,950 "," 18,000 "," 17,700 ",4.54M,-0.84%
06/11/2023," 17,950 "," 17,600 "," 18,000 "," 17,550 ",8.67M,3.16%
03/11/2023," 17,400 "," 17,800 "," 17,850 "," 17,400 ",11.87M,-1.69%
02/11/2023," 17,700 "," 17,350 "," 17,750 "," 17,300 ",6.93M,2.91%
01/11/2023," 17,200 "," 17,200 "," 17,300 "," 17,100 ",5.32M,0.58%
31/10/2023," 17,100 "," 17,200 "," 17,300 "," 16,950 ",6.59M,0.59%
30/10/2023," 17,000 "," 17,250 "," 17,450 "," 17,000 ",3.34M,-2.58%
27/10/2023," 17,450 "," 17,250 "," 17,500 "," 17,150 ",9.07M,1.45%
26/10/2023," 17,200 "," 17,650 "," 17,650 "," 17,050 ",12.35M,-3.37%
25/10/2023," 17,800 "," 17,950 "," 18,050 "," 17,800 ",4.49M,-0.56%
24/10/2023," 17,900 "," 17,800 "," 18,000 "," 17,750 ",4.39M,0.56%
23/10/2023," 17,800 "," 17,950 "," 18,000 "," 17,700 ",3.72M,-0.84%
20/10/2023," 17,950 "," 17,650 "," 18,000 "," 17,500 ",5.18M,1.70%
19/10/2023," 17,650 "," 17,750 "," 17,900 "," 17,600 ",5.65M,-0.56%
18/10/2023," 17,750 "," 18,100 "," 18,200 "," 17,600 ",10.95M,-1.93%
17/10/2023," 18,100 "," 18,300 "," 18,450 "," 18,100 ",5.44M,-0.55%
16/10/2023," 18,200 "," 18,450 "," 18,450 "," 18,200 ",5.46M,-1.36%
13/10/2023," 18,450 "," 18,300 "," 18,500 "," 18,250 ",5.82M,0.54%
12/10/2023," 18,350 "," 18,500 "," 18,550 "," 18,350 ",5.44M,-0.81%
11/10/2023," 18,500 "," 18,400 "," 18,500 "," 18,300 ",4.80M,0.27%
10/10/2023," 18,450 "," 18,400 "," 18,550 "," 18,350 ",7.37M,0.82%
09/10/2023," 18,300 "," 18,150 "," 18,300 "," 18,000 ",11.16M,0.83%
06/10/2023," 18,150 "," 18,050 "," 18,200 "," 17,950 ",4.86M,0.55%
05/10/2023," 18,050 "," 18,200 "," 18,300 "," 18,000 ",7.42M,-0.55%
04/10/2023," 18,150 "," 18,050 "," 18,250 "," 17,950 ",7.41M,0.55%
03/10/2023," 18,050 "," 18,400 "," 18,500 "," 18,000 ",11.26M,-2.96%
