Ngày,Lần cuối,Mở,Cao,Thấp,KL,% Thay đổi
29/12/2023,"42,800","43,200","43,300","42,650",4.18M,-0.58%
28/12/2023,"43,050","42,850","43,250","42,800",6.37M,0.47%
27/12/2023,"42,850","42,700","43,050","42,550",5.24M,0.35%
26/12/2023,"42,700","42,550","43,150","42,350",6.77M,0.12%
25/12/2023,"42,650","42,350","43,700","42,350",8.48M,0.71%
22/12/2023,"42,350","42,450","42,650","42,000",6.07M,-0.70%
21/12/2023,"42,650","42,200","42,700","41,850",7.21M,0.59%
20/12/2023,"42,400","40,650","42,400","40,500",12.45M,4.31%
19/12/2023,"40,650","39,500","40,900","39,200",5.74M,2.65%
18/12/2023,"39,600","40,950","40,950","39,500",8.70M,-2.82%
15/12/2023,"40,750","41,600","41,600","40,500",9.35M,-2.04%
14/12/2023,"41,600","42,100","42,300","41,400",6.54M,-0.24%
13/12/2023,"41,700","42,800","43,600","41,550",10.86M,-1.88%
12/12/2023,"42,500","42,500","42,600","42,100",5.96M,0.00%
11/12/2023,"42,500","42,600","42,650","41,900",6.21M,-0.23%
08/12/2023,"42,600","40,800","43,000","40,400",16.80M,4.28%
07/12/2023,"40,850","41,050","41,100","39,500",10.60M,-0.24%
06/12/2023,"40,950","40,000","41,050","39,950",9.05M,2.38%
05/12/2023,"40,000","39,950","40,100","39,700",6.20M,0.13%
04/12/2023,"39,950","38,900","40,450","38,800",10.60M,3.10%
01/12/2023,"38,750","38,750","39,000","38,050",4.16M,0.65%
30/11/2023,"38,500","38,850","39,100","38,500",4.03M,-0.77%
29/11/2023,"38,800","38,150","39,450","38,150",8.52M,2.11%
28/11/2023,"38,000","38,050","38,150","37,350",6.13M,0.00%
27/11/2023,"38,000","38,500","38,550","38,000",5.27M,-1.43%
24/11/2023,"38,550","37,900","38,550","37,150",11.18M,3.35%
23/11/2023,"37,300","40,000","40,300","37,300",8.07M,-6.28%
22/11/2023,"39,800","40,800","40,850","39,300",14.50M,-2.69%
21/11/2023,"40,900","41,500","41,500","40,600",5.78M,0.86%
20/11/2023,"40,550","40,150","41,650","40,150",7.56M,-2.05%
17/11/2023,"41,400","41,500","42,500","40,650",11.00M,-0.24%
16/11/2023,"41,500","41,500","41,600","40,700",10.53M,-0.95%
15/11/2023,"41,900","42,400","42,500","41,350",10.34M,0.96%
14/11/2023,"41,500","41,000","42,100","40,800",15.24M,3.75%
13/11/2023,"40,000","39,550","40,300","39,050",9.19M,1.52%
10/11/2023,"39,400","39,750","40,300","39,000",11.05M,-2.23%
09/11/2023,"40,300","40,500","41,350","39,900",12.14M,1.77%
08/11/2023,"39,600","37,900","39,600","36,700",19.61M,3.66%
07/11/2023,"38,200","37,900","39,450","37,500",10.42M,0.39%
06/11/2023,"38,050","39,000","39,000","37,600",12.64M,-2.31%
03/11/2023,"38,950","37,500","39,200","37,000",12.41M,5.27%
02/11/2023,"37,000","35,900","37,400","33,600",21.18M,5.41%
01/11/2023,"35,100","37,000","37,700","35,100",21.09M,-6.90%
31/10/2023,"37,700","40,400","40,700","37,700",13.21M,-6.91%
30/10/2023,"40,500","41,100","41,750","40,500",4.25M,-3.57%
27/10/2023,"42,000","42,300","42,500","41,400",4.69M,0.00%
26/10/2023,"42,000","42,200","42,400","40,500",15.05M,-3.45%
25/10/2023,"43,500","43,000","44,200","43,000",4.77M,1.16%
24/10/2023,"43,000","43,100","43,600","41,750",8.22M,0.00%
23/10/2023,"43,000","44,700","44,850","42,600",8.58M,-3.80%
20/10/2023,"44,700","43,000","45,000","43,000",7.02M,3.95%
19/10/2023,"43,000","44,200","44,700","43,000",8.07M,-3.80%
18/10/2023,"44,700","46,800","47,000","43,650",11.41M,-3.46%
17/10/2023,"46,300","48,900","48,900","46,300",7.89M,-4.73%
16/10/2023,"48,600","49,500","50,700","48,600",8.50M,-1.82%
13/10/2023,"49,500","48,500","49,500","48,450",9.85M,2.27%
12/10/2023,"48,400","49,300","49,500","48,200",13.70M,-1.83%
