Ngày,Lần cuối,Mở,Cao,Thấp,KL,% Thay đổi
29/12/2023,"27,950","27,950","28,100","27,800",20.47M,0.00%
28/12/2023,"27,950","27,750","28,200","27,650",31.31M,0.72%
27/12/2023,"27,750","27,850","28,000","27,750",19.85M,-0.18%
26/12/2023,"27,800","27,400","27,900","27,400",33.74M,1.28%
25/12/2023,"27,450","27,150","27,600","27,150",20.41M,1.48%
22/12/2023,"27,050","27,200","27,350","27,050",17.43M,-0.55%
21/12/2023,"27,200","27,100","27,300","26,950",14.31M,0.00%
20/12/2023,"27,200","27,200","27,350","27,100",17.66M,0.00%
19/12/2023,"27,200","26,600","27,200","26,550",20.50M,2.26%
18/12/2023,"26,600","26,900","27,000","26,600",14.88M,-0.75%
15/12/2023,"26,800","27,100","27,200","26,750",34.69M,-0.92%
14/12/2023,"27,050","27,550","27,550","27,050",31.78M,-1.10%
13/12/2023,"27,350","28,100","28,200","27,300",33.35M,-2.15%
12/12/2023,"27,950","27,500","28,200","27,500",31.68M,1.64%
11/12/2023,"27,500","27,700","27,800","27,300",17.85M,-0.72%
08/12/2023,"27,700","27,800","28,250","27,500",52.78M,0.36%
07/12/2023,"27,600","27,650","27,900","26,950",49.43M,0.00%
06/12/2023,"27,600","27,250","27,600","27,200",18.65M,1.28%
05/12/2023,"27,250","27,500","27,550","27,150",22.51M,-0.91%
04/12/2023,"27,500","27,200","27,750","27,050",42.34M,2.23%
01/12/2023,"26,900","26,800","27,100","26,450",15.40M,1.32%
30/11/2023,"26,550","27,100","27,200","26,550",21.21M,-1.67%
29/11/2023,"27,000","26,700","27,100","26,650",22.50M,1.12%
28/11/2023,"26,700","26,400","26,700","26,050",18.86M,1.52%
27/11/2023,"26,300","26,500","26,750","26,200",16.72M,-0.38%
24/11/2023,"26,400","26,000","26,400","25,550",26.23M,2.13%
23/11/2023,"25,850","27,300","27,350","25,850",21.68M,-4.96%
22/11/2023,"27,200","27,000","27,200","26,900",17.02M,0.55%
21/11/2023,"27,050","27,000","27,500","26,950",26.70M,1.50%
20/11/2023,"26,650","26,100","26,900","26,100",18.25M,0.57%
