Ngày,Lần cuối,Mở,Cao,Thấp,KL,% Thay đổi
29/12/2023,"24,650","24,600","24,650","24,450",5.50M,0.41%
28/12/2023,"24,550","24,100","24,750","24,050",9.25M,1.87%
27/12/2023,"24,100","24,450","24,550","24,100",6.71M,-0.41%
26/12/2023,"24,200","24,200","24,400","23,900",9.48M,0.41%
25/12/2023,"24,100","24,350","25,000","24,100",11.26M,-0.82%
22/12/2023,"24,300","24,450","24,750","24,000",7.40M,0.00%
21/12/2023,"24,300","23,800","24,650","23,700",12.57M,1.25%
20/12/2023,"24,000","23,900","24,100","23,750",6.52M,0.00%
19/12/2023,"24,000","22,800","24,000","22,750",11.20M,5.49%
18/12/2023,"22,750","23,300","23,400","22,750",5.22M,-2.15%
15/12/2023,"23,250","22,750","23,350","22,650",7.26M,1.97%
14/12/2023,"22,800","23,100","23,150","22,600",7.71M,0.44%
13/12/2023,"22,700","23,500","23,650","22,700",10.49M,-2.78%
12/12/2023,"23,350","23,450","23,800","23,300",6.62M,0.43%
11/12/2023,"23,250","23,300","23,500","22,850",7.12M,-0.21%
08/12/2023,"23,300","23,500","24,400","23,200",13.08M,0.00%
07/12/2023,"23,300","23,900","23,950","22,600",15.72M,-1.69%
06/12/2023,"23,700","23,500","23,800","23,150",12.30M,0.64%
05/12/2023,"23,550","23,950","23,950","23,350",10.47M,-1.26%
04/12/2023,"23,850","23,350","24,200","22,950",14.43M,4.15%
01/12/2023,"22,900","23,250","23,250","22,200",15.84M,-0.43%
30/11/2023,"23,000","22,950","23,450","22,700",12.68M,0.44%
29/11/2023,"22,900","22,800","23,400","22,600",16.68M,0.44%
28/11/2023,"22,800","21,850","22,800","21,650",17.32M,4.59%
27/11/2023,"21,800","22,100","22,450","21,750",8.93M,-1.36%
24/11/2023,"22,100","21,350","22,100","20,800",17.66M,4.49%
23/11/2023,"21,150","22,900","23,000","21,150",17.64M,-6.83%
22/11/2023,"22,700","22,200","22,700","21,950",11.80M,2.25%
21/11/2023,"22,200","22,600","23,250","22,200",17.53M,0.00%
20/11/2023,"22,200","21,350","22,300","21,350",13.30M,1.60%
17/11/2023,"21,850","21,700","22,250","21,350",21.62M,1.16%
16/11/2023,"21,600","21,300","21,600","21,100",9.15M,0.70%
15/11/2023,"21,450","22,550","22,550","21,300",17.05M,-0.69%
14/11/2023,"21,600","21,900","21,900","21,100",13.70M,0.47%
13/11/2023,"21,500","20,600","21,750","20,500",19.79M,4.88%
10/11/2023,"20,500","20,500","21,450","20,450",15.28M,-1.20%
09/11/2023,"20,750","21,000","21,500","20,700",14.86M,0.48%
08/11/2023,"20,650","19,300","20,650","19,250",15.43M,6.99%
07/11/2023,"19,300","19,350","19,700","19,050",7.86M,-1.03%
06/11/2023,"19,500","19,250","19,500","19,150",7.83M,1.30%
03/11/2023,"19,250","19,100","19,450","18,750",9.84M,0.79%
02/11/2023,"19,100","18,150","19,150","18,100",10.48M,6.70%
01/11/2023,"17,900","17,600","17,900","17,250",5.63M,2.29%
31/10/2023,"17,500","18,000","18,250","17,400",6.81M,-2.78%
30/10/2023,"18,000","18,000","18,700","17,950",7.30M,0.00%
27/10/2023,"18,000","17,650","18,050","17,150",4.83M,4.05%
26/10/2023,"17,300","18,100","18,600","17,300",10.71M,-6.99%
25/10/2023,"18,600","18,700","19,300","18,450",5.02M,-0.27%
24/10/2023,"18,650","18,550","18,650","18,150",4.32M,0.81%
23/10/2023,"18,500","18,500","18,700","18,050",5.46M,0.54%
20/10/2023,"18,400","17,800","18,500","17,500",6.10M,3.08%
19/10/2023,"17,850","17,800","18,250","17,250",5.34M,-1.11%
18/10/2023,"18,050","19,000","19,000","17,300",12.44M,-2.96%
17/10/2023,"18,600","20,100","20,250","18,600",7.38M,-6.53%
16/10/2023,"19,900","20,600","20,800","19,900",8.19M,-3.16%
13/10/2023,"20,550","19,950","20,550","19,800",7.25M,1.23%
12/10/2023,"20,300","20,600","20,850","20,100",7.10M,-0.98%
11/10/2023,"20,500","19,950","20,500","19,850",7.16M,2.76%
10/10/2023,"19,950","20,200","20,350","19,950",7.60M,0.00%
09/10/2023,"19,950","19,300","19,950","19,050",9.84M,4.18%
06/10/2023,"19,150","18,600","19,150","18,300",5.01M,2.96%
05/10/2023,"18,600","19,350","19,450","18,550",5.60M,-3.13%
04/10/2023,"19,200","17,800","19,400","17,800",7.73M,3.50%
03/10/2023,"18,550","19,500","19,550","18,550",11.66M,-6.78%
02/10/2023,"19,900","19,750","20,150","19,550",4.30M,0.76%
29/09/2023,"19,750","20,100","20,250","19,600",4.91M,-0.75%
28/09/2023,"19,900","19,900","19,950","19,100",6.80M,0.76%
27/09/2023,"19,750","19,000","19,750","18,600",6.86M,4.77%
26/09/2023,"18,850","18,800","19,900","18,800",9.39M,-2.84%
25/09/2023,"19,400","20,350","21,000","19,400",13.53M,-6.95%
22/09/2023,"20,850","21,500","21,850","20,850",27.47M,-6.92%
21/09/2023,"22,400","22,850","23,650","22,400",17.77M,-1.97%
20/09/2023,"22,850","22,700","22,950","22,500",8.01M,0.66%
19/09/2023,"22,700","21,850","22,700","21,000",14.73M,5.34%
18/09/2023,"21,550","21,500","22,200","21,400",11.57M,0.23%
15/09/2023,"21,500","21,350","22,000","20,900",10.24M,0.94%
14/09/2023,"21,300","22,050","22,100","21,000",11.95M,-3.40%
13/09/2023,"22,050","21,850","22,800","21,250",16.99M,1.38%
12/09/2023,"21,750","21,000","21,800","20,750",12.52M,3.57%
11/09/2023,"21,000","22,000","22,000","21,000",15.85M,-3.89%
08/09/2023,"21,850","20,900","21,950","20,700",16.08M,4.55%
07/09/2023,"20,900","21,350","21,450","20,800",12.06M,-1.18%
06/09/2023,"21,150","19,900","21,150","19,550",21.03M,6.82%
05/09/2023,"19,800","19,600","19,900","19,400",12.00M,2.59%
31/08/2023,"19,300","19,000","19,500","19,000",10.37M,2.66%
30/08/2023,"18,800","18,400","18,900","18,300",7.17M,2.17%
29/08/2023,"18,400","18,700","18,750","18,300",5.20M,-1.08%
28/08/2023,"18,600","18,200","18,600","18,150",6.38M,2.76%
25/08/2023,"18,100","18,400","18,450","18,050",6.89M,-1.63%
24/08/2023,"18,400","17,900","18,400","17,750",5.75M,2.79%
23/08/2023,"17,900","18,200","18,200","17,900",4.14M,0.00%
22/08/2023,"17,900","17,800","18,100","16,900",9.77M,1.13%
21/08/2023,"17,700","18,400","18,600","17,700",10.04M,-4.84%
18/08/2023,"18,600","19,750","19,850","18,600",15.78M,-7.00%
17/08/2023,"20,000","20,400","20,650","20,000",15.88M,-1.48%
16/08/2023,"20,300","20,400","20,400","20,000",6.03M,-0.49%
15/08/2023,"20,400","20,400","20,500","20,000",7.74M,0.49%
14/08/2023,"20,300","19,700","20,500","19,600",17.78M,4.10%
11/08/2023,"19,500","19,100","19,700","18,650",10.06M,2.63%
10/08/2023,"19,000","19,600","19,600","19,000",5.53M,-2.81%
09/08/2023,"19,550","19,250","19,600","18,950",10.50M,1.56%
08/08/2023,"19,250","19,350","19,550","19,200",9.89M,0.00%
07/08/2023,"19,250","19,400","19,450","19,100",7.52M,0.00%
04/08/2023,"19,250","18,850","19,250","18,800",6.24M,2.12%
03/08/2023,"18,850","19,200","19,200","18,650",12.37M,-1.82%
02/08/2023,"19,200","19,000","19,400","18,800",6.25M,0.79%
01/08/2023,"19,050","19,700","19,700","19,050",12.10M,-3.30%
31/07/2023,"19,700","20,250","20,250","19,300",10.70M,-0.51%
28/07/2023,"19,800","19,750","20,150","19,500",8.54M,0.76%
27/07/2023,"19,650","19,650","19,800","19,200",7.43M,0.00%
26/07/2023,"19,650","19,600","20,100","19,500",8.40M,0.26%
25/07/2023,"19,600","19,600","19,750","19,400",7.86M,0.00%
24/07/2023,"19,600","19,750","19,900","19,450",7.56M,-0.51%
21/07/2023,"19,700","19,300","19,800","19,200",8.24M,2.60%
20/07/2023,"19,200","19,000","19,300","18,800",8.88M,0.79%
19/07/2023,"19,050","19,200","19,300","18,900",10.62M,-0.26%
18/07/2023,"19,100","19,400","19,400","19,050",8.96M,-1.80%
17/07/2023,"19,450","19,550","19,800","19,300",6.97M,0.52%
14/07/2023,"19,350","18,850","19,350","18,700",14.63M,3.75%
13/07/2023,"18,650","18,900","18,950","18,600",5.10M,0.27%
12/07/2023,"18,600","18,750","18,800","18,250",8.86M,-0.27%
11/07/2023,"18,650","18,750","18,950","18,550",11.05M,-0.80%
10/07/2023,"18,800","18,550","18,900","18,400",11.24M,2.17%
07/07/2023,"18,400","17,400","18,450","17,200",15.39M,5.14%
06/07/2023,"17,500","17,700","17,900","17,200",8.69M,-1.13%
05/07/2023,"17,700","17,650","18,100","17,450",18.04M,1.14%
04/07/2023,"17,500","17,250","17,500","17,050",10.70M,1.74%
03/07/2023,"17,200","17,400","17,400","17,200",4.94M,-0.29%
30/06/2023,"17,250","17,150","17,350","17,100",5.68M,0.00%
29/06/2023,"17,250","18,150","18,200","17,250",14.87M,-4.96%
28/06/2023,"18,150","18,050","18,350","18,000",10.93M,0.55%
27/06/2023,"18,050","18,250","18,250","17,750",7.50M,-0.28%
26/06/2023,"18,100","18,200","18,400","17,500",12.45M,-0.55%
23/06/2023,"18,200","17,800","18,250","17,700",16.01M,2.82%
22/06/2023,"17,700","17,800","17,900","17,600",11.37M,0.00%
21/06/2023,"17,700","16,900","17,750","16,850",17.54M,4.42%
20/06/2023,"16,950","16,400","16,950","16,400",5.81M,3.35%
19/06/2023,"16,400","16,800","16,800","16,400",7.32M,-2.38%
16/06/2023,"16,800","16,900","17,200","16,650",15.75M,0.30%
15/06/2023,"16,750","17,100","17,150","16,650",13.48M,-2.05%
14/06/2023,"17,100","17,500","17,500","17,050",8.97M,-2.01%
13/06/2023,"17,450","16,600","17,600","16,400",21.31M,5.76%
12/06/2023,"16,500","16,750","16,800","16,100",10.79M,-1.20%
09/06/2023,"16,700","16,400","16,700","16,150",10.67M,2.45%
08/06/2023,"16,300","16,700","16,850","16,300",16.30M,-2.40%
07/06/2023,"16,700","16,750","17,150","16,650",13.09M,1.83%
06/06/2023,"16,400","16,200","16,550","16,050",10.30M,0.92%
05/06/2023,"16,250","16,300","16,650","16,000",13.97M,2.52%
02/06/2023,"15,850","15,500","16,100","15,350",15.21M,3.26%
01/06/2023,"15,350","15,500","15,550","15,050",9.53M,-0.97%
31/05/2023,"15,500","15,600","15,800","15,400",12.53M,0.00%
30/05/2023,"15,500","15,250","15,600","15,150",16.87M,2.31%
29/05/2023,"15,150","14,800","15,200","14,650",6.98M,3.06%
26/05/2023,"14,700","14,900","14,900","14,600",4.75M,-1.01%
25/05/2023,"14,850","14,700","14,950","14,600",4.06M,0.34%
24/05/2023,"14,800","15,200","15,200","14,800",6.70M,-1.99%
23/05/2023,"15,100","15,300","15,400","15,000",5.21M,-0.98%
22/05/2023,"15,250","14,600","15,300","14,600",8.64M,4.45%
19/05/2023,"14,600","14,550","14,750","14,500",3.72M,0.34%
18/05/2023,"14,550","14,550","14,650","14,400",5.89M,0.34%
17/05/2023,"14,500","14,800","14,900","14,500",7.63M,-2.03%
16/05/2023,"14,800","15,000","15,150","14,700",5.61M,-1.33%
15/05/2023,"15,000","15,600","15,600","15,000",8.95M,-2.60%
12/05/2023,"15,400","15,200","15,600","15,200",7.82M,1.32%
11/05/2023,"15,200","15,200","15,500","15,050",8.51M,0.33%
10/05/2023,"15,150","15,050","15,200","14,950",4.72M,0.66%
09/05/2023,"15,050","14,700","15,100","14,600",11.87M,3.79%
08/05/2023,"14,500","14,700","14,700","14,500",2.76M,0.00%
05/05/2023,"14,500","14,400","14,750","14,300",3.18M,0.69%
04/05/2023,"14,400","14,500","14,700","14,300",3.35M,-1.03%
28/04/2023,"14,550","14,500","14,650","14,450",3.12M,0.34%
27/04/2023,"14,500","14,800","14,850","14,500",2.54M,-2.03%
26/04/2023,"14,800","14,100","14,800","14,000",5.07M,4.96%
25/04/2023,"14,100","14,000","14,500","13,900",3.83M,1.81%
24/04/2023,"13,850","14,150","14,200","13,800",5.18M,-2.12%
21/04/2023,"14,150","14,600","14,600","14,050",7.16M,-3.41%
20/04/2023,"14,650","14,650","14,700","14,500",3.07M,0.00%
19/04/2023,"14,650","14,900","15,000","14,650",3.68M,-1.68%
18/04/2023,"14,900","14,900","15,000","14,800",3.26M,0.68%
17/04/2023,"14,800","14,600","14,900","14,600",2.53M,1.02%
14/04/2023,"14,650","14,750","14,950","14,600",6.85M,0.34%
13/04/2023,"14,600","14,750","14,800","14,500",4.00M,-0.68%
12/04/2023,"14,700","14,900","15,000","14,700",4.07M,-1.34%
11/04/2023,"14,900","14,400","14,900","14,400",5.87M,3.11%
10/04/2023,"14,450","14,650","14,950","14,400",12.80M,-2.36%
07/04/2023,"14,800","15,100","15,250","14,700",12.32M,-2.31%
06/04/2023,"15,150","15,500","15,600","15,150",13.64M,-1.94%
05/04/2023,"15,450","15,300","15,500","15,200",9.15M,0.98%
04/04/2023,"15,300","15,050","15,450","15,050",7.83M,0.99%
03/04/2023,"15,150","15,450","15,650","15,100",14.41M,-1.62%
31/03/2023,"15,400","15,600","15,900","15,000",20.45M,-1.91%
30/03/2023,"15,700","16,500","16,650","15,700",26.11M,-4.27%
29/03/2023,"16,400","16,050","16,600","16,050",9.10M,2.18%
28/03/2023,"16,050","16,500","16,500","16,050",8.42M,-1.53%
27/03/2023,"16,300","15,900","16,400","15,750",9.86M,2.52%
24/03/2023,"15,900","16,050","16,200","15,750",7.87M,0.00%
23/03/2023,"15,900","15,400","16,000","15,350",7.34M,1.92%
22/03/2023,"15,600","15,950","15,950","15,600",4.70M,-1.27%
21/03/2023,"15,800","15,350","15,800","15,000",8.65M,4.29%
20/03/2023,"15,150","15,600","15,900","15,100",9.61M,-3.50%
17/03/2023,"15,700","16,000","16,100","15,600",6.59M,-0.32%
16/03/2023,"15,750","15,950","16,250","15,650",9.03M,-3.67%
15/03/2023,"16,350","15,950","16,350","15,800",8.92M,5.83%
14/03/2023,"15,450","16,400","16,400","15,350",21.20M,-5.79%
13/03/2023,"16,400","16,500","16,800","16,200",8.54M,-1.80%
10/03/2023,"16,700","16,400","16,700","16,100",14.94M,0.30%
09/03/2023,"16,650","16,800","17,100","16,650",14.45M,-0.30%
08/03/2023,"16,700","16,350","16,700","16,250",13.32M,1.21%
07/03/2023,"16,500","15,600","16,550","15,500",24.60M,6.45%
06/03/2023,"15,500","15,800","16,000","15,000",8.15M,0.98%
03/03/2023,"15,350","15,500","16,150","15,350",18.75M,0.00%
02/03/2023,"15,350","15,300","15,700","15,100",10.09M,1.66%
01/03/2023,"15,100","14,150","15,100","13,950",8.22M,6.71%
28/02/2023,"14,150","14,500","14,650","13,950",6.48M,-0.35%
27/02/2023,"14,200","14,800","14,800","14,200",10.33M,-5.33%
24/02/2023,"15,000","15,700","15,750","14,900",7.63M,-3.85%
23/02/2023,"15,600","15,050","15,600","14,500",13.39M,2.97%
22/02/2023,"15,150","14,900","16,000","14,900",20.54M,-0.98%
21/02/2023,"15,300","15,900","15,950","15,300",13.90M,-2.86%
20/02/2023,"15,750","15,350","15,800","15,300",13.92M,3.62%
17/02/2023,"15,200","15,100","15,350","14,900",10.86M,1.00%
16/02/2023,"15,050","14,300","15,050","14,100",13.95M,6.74%
15/02/2023,"14,100","13,800","14,450","13,700",9.54M,2.17%
14/02/2023,"13,800","13,650","14,050","13,600",6.11M,2.22%
13/02/2023,"13,500","13,350","13,700","12,900",7.33M,0.00%
10/02/2023,"13,500","13,650","13,900","13,300",6.52M,-1.10%
09/02/2023,"13,650","14,000","14,200","13,650",4.43M,-2.50%
08/02/2023,"14,000","13,400","14,050","12,850",11.11M,6.46%
07/02/2023,"13,150","14,100","14,400","13,150",13.33M,-6.74%
06/02/2023,"14,100","14,000","14,200","13,700",6.13M,0.00%
03/02/2023,"14,100","14,200","14,550","13,700",8.19M,0.00%
02/02/2023,"14,100","14,800","14,950","14,050",11.99M,-4.73%
01/02/2023,"14,800","15,950","16,300","14,800",26.77M,-6.92%
31/01/2023,"15,900","15,600","15,900","15,450",9.63M,0.95%
30/01/2023,"15,750","15,850","16,400","15,400",12.15M,0.00%
27/01/2023,"15,750","15,500","16,000","15,050",13.39M,1.61%
19/01/2023,"15,500","15,350","15,650","15,100",11.76M,0.32%
18/01/2023,"15,450","15,700","15,800","15,300",8.39M,-0.32%
17/01/2023,"15,500","14,750","15,500","14,600",16.06M,6.90%
16/01/2023,"14,500","14,150","14,700","13,950",9.38M,3.20%
13/01/2023,"14,050","14,450","14,700","13,900",7.79M,-0.71%
12/01/2023,"14,150","14,000","14,300","13,800",6.48M,1.80%
11/01/2023,"13,900","13,700","14,400","13,600",13.43M,2.96%
10/01/2023,"13,500","13,100","13,700","12,600",9.01M,3.05%
09/01/2023,"13,100","13,650","13,650","13,100",7.65M,-1.13%
06/01/2023,"13,250","13,800","13,950","13,100",8.65M,-4.33%
05/01/2023,"13,850","13,450","13,950","13,100",9.74M,3.75%
04/01/2023,"13,350","13,600","13,800","13,250",7.89M,1.91%
03/01/2023,"13,100","12,350","13,100","12,350",8.70M,6.94%
30/12/2022,"12,250","12,450","12,500","12,100",3.90M,0.00%
29/12/2022,"12,250","12,350","12,600","12,000",5.60M,-0.81%
28/12/2022,"12,350","12,600","12,750","12,350",5.82M,0.00%
27/12/2022,"12,350","11,500","12,350","11,300",9.21M,6.93%
26/12/2022,"11,550","12,050","12,350","11,550",12.09M,-6.85%
23/12/2022,"12,400","13,250","13,300","12,400",12.51M,-6.77%
22/12/2022,"13,300","14,000","14,150","12,900",10.90M,-3.62%
21/12/2022,"13,800","14,900","14,950","13,650",13.40M,-5.80%
20/12/2022,"14,650","14,100","14,900","13,350",25.88M,3.90%
19/12/2022,"14,100","14,500","15,050","14,100",20.97M,0.00%
16/12/2022,"14,100","13,000","14,100","13,000",15.19M,6.82%
15/12/2022,"13,200","12,800","13,400","12,800",11.71M,1.54%
14/12/2022,"13,000","13,300","13,500","12,900",10.37M,0.00%
13/12/2022,"13,000","12,450","13,000","11,950",9.15M,4.42%
12/12/2022,"12,450","13,500","13,800","12,400",12.49M,-6.39%
09/12/2022,"13,300","12,800","13,450","12,350",11.99M,4.72%
08/12/2022,"12,700","12,100","12,700","12,050",12.38M,6.72%
07/12/2022,"11,900","11,950","12,400","11,650",14.65M,-4.80%
06/12/2022,"12,500","13,300","13,350","12,500",22.94M,-6.72%
05/12/2022,"13,400","13,300","13,400","12,800",13.86M,6.77%
02/12/2022,"12,550","11,700","12,550","11,650",12.68M,6.81%
01/12/2022,"11,750","11,300","11,750","11,200",27.61M,6.82%
30/11/2022,"11,000","10,900","11,250","10,550",10.02M,1.38%
29/11/2022,"10,850","10,700","11,200","10,150",12.84M,2.84%
28/11/2022,"10,550","10,300","10,550","10,100",12.16M,6.57%
