Ngày,Lần cuối,Mở,Cao,Thấp,KL,% Thay đổi
29/12/2023,"31,800","31,700","31,950","31,500",4.23M,0.95%
28/12/2023,"31,500","30,900","31,650","30,900",5.75M,2.11%
27/12/2023,"30,850","30,850","31,150","30,850",2.02M,0.16%
26/12/2023,"30,800","30,850","31,000","30,750",1.51M,-0.48%
25/12/2023,"30,950","30,800","31,000","30,600",2.57M,1.14%
22/12/2023,"30,600","30,500","30,800","30,450",1.85M,-0.16%
21/12/2023,"30,650","30,300","30,650","30,150",2.48M,0.99%
20/12/2023,"30,350","30,300","30,550","30,150",1.75M,-0.82%
19/12/2023,"30,600","30,000","30,600","29,800",2.11M,1.83%
18/12/2023,"30,050","30,600","30,650","30,050",2.38M,-1.80%
15/12/2023,"30,600","30,550","30,800","30,400",2.15M,0.16%
14/12/2023,"30,550","30,800","30,850","30,550",2.55M,0.16%
13/12/2023,"30,500","31,150","31,150","30,500",3.11M,-1.77%
12/12/2023,"31,050","30,850","31,050","30,750",2.17M,0.65%
11/12/2023,"30,850","30,950","31,000","30,650",1.61M,-0.32%
08/12/2023,"30,950","30,850","31,000","30,600",2.75M,0.32%
07/12/2023,"30,850","30,550","31,050","30,300",5.84M,1.48%
06/12/2023,"30,400","30,000","30,500","30,000",2.49M,1.16%
05/12/2023,"30,050","30,250","30,300","29,900",3.09M,-0.50%
04/12/2023,"30,200","29,800","30,500","29,800",4.76M,1.51%
01/12/2023,"29,750","29,600","29,850","29,350",2.70M,0.85%
30/11/2023,"29,500","29,750","30,050","29,500",2.76M,-1.34%
29/11/2023,"29,900","29,900","30,300","29,600",1.78M,-0.17%
28/11/2023,"29,950","29,300","29,950","28,800",3.74M,2.22%
27/11/2023,"29,300","29,950","29,950","29,300",3.05M,-2.50%
24/11/2023,"30,050","30,350","30,600","29,450",4.70M,-1.15%
23/11/2023,"30,400","31,200","31,300","30,400",3.28M,-1.78%
22/11/2023,"30,950","30,900","31,000","30,650",1.84M,0.49%
21/11/2023,"30,800","31,350","31,350","30,800",2.24M,-0.65%
20/11/2023,"31,000","30,500","31,250","30,450",4.32M,-0.48%
17/11/2023,"31,150","31,700","31,950","30,700",5.08M,-1.74%
16/11/2023,"31,700","31,500","31,800","31,500",2.24M,0.48%
15/11/2023,"31,550","32,000","32,200","31,500",3.67M,0.16%
14/11/2023,"31,500","31,150","31,750","30,900",3.98M,1.94%
13/11/2023,"30,900","31,300","31,300","30,650",2.46M,-0.48%
10/11/2023,"31,050","31,200","31,500","30,700",4.07M,-1.43%
09/11/2023,"31,500","31,850","31,950","31,300",4.25M,-0.94%
08/11/2023,"31,800","30,600","31,900","30,200",3.87M,3.92%
07/11/2023,"30,600","30,600","30,950","30,450",1.51M,-1.29%
06/11/2023,"31,000","30,800","31,000","30,300",3.30M,0.00%
03/11/2023,"31,000","29,950","31,000","29,550",8.10M,5.62%
02/11/2023,"29,350","28,800","29,600","28,500",4.71M,4.08%
01/11/2023,"28,200","28,300","28,450","27,450",4.48M,1.81%
31/10/2023,"27,700","28,200","28,500","27,200",6.09M,-1.42%
